Player,Student,WK,OPP,TAR,RECPT,REYD,REAVG,RETD,FPTS
Tyler Lockett,Brie,1,CIN,2,1,44,44.00,1,10
Tyler Lockett,Brie,2,@PIT,12,10,79,7.90,0,7
Tyler Lockett,Brie,3,NO,14,11,154,14.00,1,21
Tyler Lockett,Brie,4,@ARI,4,4,51,12.75,0,5
Tyler Lockett,Brie,5,LAR,4,4,51,12.75,1,11
Cooper Kupp,Joe,1,@CAR,10,7,46,6.57,0,4
Cooper Kupp,Joe,2,NO,9,5,120,24.00,0,12
Cooper Kupp,Joe,3,@CLE,12,11,101,9.18,2,22
Cooper Kupp,Joe,4,TB,15,9,121,13.44,1,18
Cooper Kupp,Joe,5,@SEA,17,9,117,13.00,1,17
Chris Godwin,Sophia,1,SF,6,3,53,17.67,1,11
Chris Godwin,Sophia,2,@CAR,9,8,121,15.12,1,18
Chris Godwin,Sophia,3,NYG,4,3,40,13.33,0,4
Chris Godwin,Sophia,4,@LAR,14,12,172,14.33,2,29
Chris Godwin,Sophia,5,@NO,9,7,125,17.86,2,24
Sammy Watkins,Hailey,1,@JAC,11,9,198,22.00,3,37
Sammy Watkins,Hailey,2,@OAK,13,6,49,8.17,0,4
Sammy Watkins,Hailey,3,BAL,8,5,64,12.80,0,6
Sammy Watkins,Hailey,4,@DET,6,3,54,18.00,0,3
Sammy Watkins,Hailey,5,IND,0,0,0,0,0,0
Odell Beckham,Carmen,1,TEN,11,7,71,10.14,0,7
Odell Beckham,Carmen,2,@NYJ,10,6,161,26.83,1,22
Odell Beckham,Carmen,3,LAR,9,6,56,9.33,0,5
Odell Beckham,Carmen,4,@BAL,7,2,20,10.00,0,2
Odell Beckham,Carmen,5,@SF,6,2,27,13.50,0,1
Michael Thomas,Jenna,1,HOU,13,10,123,12.30,0,12
Michael Thomas,Jenna,2,@LAR,13,10,89,8.90,0,8
Michael Thomas,Jenna,3,@SEA,7,5,54,10.80,1,11
Michael Thomas,Jenna,4,DAL,9,9,95,10.56,0,9
Michael Thomas,Jenna,5,TB,13,11,182,16.55,2,30
Julio Jones,Hannah,1,@MIN,11,6,31,5.17,1,9
Julio Jones,Hannah,2,PHI,10,5,106,21.20,2,22
Julio Jones,Hannah,3,@IND,9,8,128,16.00,1,18
Julio Jones,Hannah,4,TEN,7,4,52,13.00,0,5
Julio Jones,Hannah,5,@HOU,7,3,42,14.00,0,4
Davante Adams,Kitti,1,@CHI,8,4,36,9.00,0,3
Davante Adams,Kitti,2,MIN,9,7,106,15.14,0,10
Davante Adams,Kitti,3,DEN,4,4,56,14.00,0,5
Davante Adams,Kitti,4,PHI,15,10,180,18.00,0,18
Davante Adams,Kitti,5,@DAL,0,0,0,0,0,0
Keenan Allen,Bryston,1,IND,10,8,123,15.38,1,18
Keenan Allen,Bryston,2,@DET,15,8,98,12.25,0,9
Keenan Allen,Bryston,3,HOU,17,13,183,14.08,2,30
Keenan Allen,Bryston,4,@MIA,5,5,48,9.60,0,4
Keenan Allen,Bryston,5,DEN,6,4,18,4.50,0,1
Mike Evans,Mr.Kim,1,SF,5,2,28,14.00,0,2
Mike Evans,Mr.Kim,2,@CAR,8,4,61,15.25,0,6
Mike Evans,Mr.Kim,3,NYG,15,8,190,23.75,3,37
Mike Evans,Mr.Kim,4,@LAR,7,4,89,22.25,1,14
Mike Evans,Mr.Kim,5,@NO,3,0,0,0,0,0
